Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
1093.4,12.75,25.807,0.038749,3658.1,4152.1,7.3333,1.9447,2.4946,787.76,1.7841,4.19E-05,0.11924,vapor
1096.3,12.75,25.731,0.038863,3663.8,4159.3,7.3398,1.9462,2.4953,788.83,1.7707,4.20E-05,0.11966,vapor
1099.2,12.75,25.656,0.038977,3669.5,4166.5,7.3464,1.9477,2.496,789.91,1.7573,4.21E-05,0.12007,vapor
1102,12.75,25.582,0.03909,3675.3,4173.7,7.3529,1.9493,2.4967,790.98,1.7441,4.22E-05,0.12049,vapor
1104.9,12.75,25.508,0.039204,3681,4180.8,7.3594,1.9508,2.4975,792.05,1.731,4.23E-05,0.12091,vapor
1107.8,12.75,25.434,0.039317,3686.7,4188,7.3659,1.9523,2.4982,793.12,1.718,4.24E-05,0.12132,vapor
1110.7,12.75,25.361,0.03943,3692.5,4195.2,7.3724,1.9539,2.499,794.18,1.7052,4.25E-05,0.12174,vapor
1113.6,12.75,25.289,0.039543,3698.2,4202.4,7.3789,1.9554,2.4998,795.25,1.6924,4.26E-05,0.12216,vapor
1116.4,12.75,25.217,0.039657,3704,4209.6,7.3853,1.957,2.5006,796.31,1.6798,4.27E-05,0.12257,vapor
1119.3,12.75,25.145,0.03977,3709.8,4216.8,7.3917,1.9585,2.5014,797.36,1.6673,4.28E-05,0.12299,vapor
1122.2,12.75,25.074,0.039882,3715.5,4224,7.3982,1.9601,2.5022,798.42,1.6549,4.30E-05,0.12341,vapor
1125.1,12.75,25.003,0.039995,3721.3,4231.2,7.4046,1.9616,2.5031,799.47,1.6427,4.31E-05,0.12383,vapor
1127.9,12.75,24.933,0.040108,3727,4238.4,7.411,1.9632,2.5039,800.52,1.6305,4.32E-05,0.12425,vapor
1130.8,12.75,24.863,0.040221,3732.8,4245.6,7.4174,1.9648,2.5048,801.57,1.6184,4.33E-05,0.12467,vapor
1133.7,12.75,24.793,0.040334,3738.6,4252.8,7.4237,1.9663,2.5057,802.61,1.6065,4.34E-05,0.12509,vapor
